z,name,symbol,group,period,valenceoftheelements,numofvalenceelectrons,thermalconductivity,entalpyofatomization,fusion,vaporization,mass,density,volume,atomic_radii,van_der_waals_radii,covalent_radii,melt,boil,specific_heat,electronegativity,first_ionization_energy,electron_affinity,s_elec,p_elec,d_elec,f_elec
55,Caesium,Cs,1,6,1,1,36,76,2.09,65,132.9049988,1.873000026,115.8300018,260,,225,301.7000122,944,0.241999999,0.790000021,3.893899918,0.471,11,24,20,0
56,Barium,Ba,2,6,2,2,18,182,8,140,137.3269959,3.594000101,63.00999832,215,,198,1002.150024,2170,0.203999996,0.889999986,5.211699963,0.144,12,24,20,0
57,Lanthanum,La,0,6,3,,13,431,6.2,400,138.9049988,6.144999981,36.68000031,195,,169,1193.150024,3737,0.194999993,1.100000024,5.576900005,0.5,12,24,21,0
58,Cerium,Ce,0,6,4,,11,423,5.5,350,140.1159973,6.769999981,37.20000076,185,,,1071.150024,3716,0.192000002,1.120000005,5.538700104,0.5,12,24,21,1
59,Praseodymium,Pr,0,6,4,,13,356,6.9,330,140.9080048,6.772999763,36.22000122,185,,,1204.150024,3793,0.193000004,1.129999995,5.47300005,0.962,12,24,20,3
60,Neodymium,Nd,0,6,3,,17,328,7.1,285,144.2420044,7.006999969,35.25999832,185,,,1289.150024,3347,0.189999998,1.139999986,5.525000095,0.162,12,24,20,4
61,Promethium,Pm,0,6,3,,15,350,7.7,290,145,7.260000229,34.43249893,185,,,1204.150024,3273,,1.129999995,5.581999779,0.129,12,24,20,5
62,Samarium,Sm,0,6,3,,13,207,8.6,175,150.3600006,7.519999981,34.0625,185,,,1345.150024,2067,0.196999997,1.169999957,5.643599987,0.162,12,24,20,6
63,Europium,Eu,0,6,3,,14,175,9.2,175,151.9640045,5.243000031,44.52000046,185,,,1095.150024,1802,0.181999996,1.200000048,5.670400143,0.116,12,24,20,7
64,Gadolinium,Gd,0,6,3,,11,398,10,305,157.25,7.894999981,32.52999878,180,,,1585.150024,3546,0.236000001,1.200000048,6.150100231,0.137,12,24,21,7
65,Terbium,Tb,0,6,3,,11,389,10.8,295,158.9250031,8.229000092,31.99670029,175,,,1630.150024,3503,0.181999996,1.200000048,5.863800049,0.436,12,24,20,9
66,Dysprosium,Dy,0,6,3,,11,290,11.1,280,162.5,8.550000191,31.48670006,175,,,1680.150024,2840,0.170000002,1.220000029,5.938899994,0.352,12,24,20,10
67,Holmium,Ho,0,6,3,,16,301,17,265,164.9299927,8.795000076,31.0333004,175,,,1743.150024,2993,0.165000007,1.230000019,6.021500111,0.338,12,24,20,11
68,Erbium,Er,0,6,3,,15,317,19.9,285,167.2590027,9.065999985,30.82500076,175,,,1795.150024,3503,0.167999998,1.24000001,6.107699871,0.312,12,24,20,12
69,Thulium,Tm,0,6,3,,17,232,16.8,250,168.9340057,9.321000099,30.37999916,175,,,1818.150024,2223,0.159999996,1.25,6.184309959,1.029,12,24,20,13
70,Ytterbium,Yb,0,6,3,,39,152,7.7,160,173.0540009,6.965000153,40.22999954,175,,,1097.150024,1469,0.155000001,1.100000024,6.254159927,,12,24,20,14
71,Lutetium,Lu,3,0,3,,16,428,22,415,174.9669952,9.840000153,29.35000038,175,,160,1936.150024,3675,0.153999999,1.269999981,5.425899982,0.346,12,24,21,14
