,bandgap,finalenergyperatom,formationenergy,spacegroupnum,nelements,nsites,density,mass,volume,avg_electronegativity,lattice_a,lattice_b,lattice_c,latticealpha,latticebeta,latticegamma,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Rf,Db,Sg,Bh,Hs,Mt,Ds,Rg,Cn
0,5.933,-5.576149,-1.367975,2,6,32,2.940309,664.035112,374.892,2.6531250216249997,5.465751,7.691087,9.59254,73.198165,76.233527,86.935936,8.0,,2,,,,4.0,12,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.934,-5.592953,-1.369649,4,6,32,2.253201,476.421717,350.994,2.655000019875,5.080959,8.305728,8.617235,90.0,105.164234,90.0,8.0,,2,,,,4.0,12,,,,,,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5.231,-5.874426,-2.508278,87,6,36,2.898363,669.607304,383.509,2.163055585333333,6.364259,8.389621,8.389621,98.271477,67.710071,112.289929,,,12,,,,,16,,,2.0,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,-6.13161,-1.942571,15,6,36,3.624381,737.602971,337.829,2.7777778173888885,4.705827,7.849667,9.586717,90.481528,90.0,107.4424,4.0,,2,,2.0,,,20,,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
